# GPS: 4.73201, 103.37981 deg., Elev: 148.04 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
234,23.694,32.238,1.710,13.006
235,23.672,33.174,1.528,0.000
236,23.644,33.088,1.656,14.806
237,23.535,33.823,1.861,0.000
238,23.578,33.737,1.812,11.226
239,23.649,32.692,1.662,0.000
240,23.628,33.303,1.600,0.000
241,23.674,33.473,1.820,0.000
242,23.565,33.836,1.805,0.000
243,23.574,34.122,1.849,0.000
244,23.598,33.609,1.752,0.000
245,23.612,33.675,1.587,11.906
246,23.622,32.506,1.503,0.000
247,23.620,33.593,1.482,10.906
248,23.653,33.652,1.470,9.986
249,23.655,33.401,1.488,9.206
250,23.679,33.025,1.494,22.376
251,23.649,33.553,1.531,9.266
252,23.552,33.709,1.594,0.000
253,23.625,33.830,1.594,0.000
254,23.709,33.117,1.584,9.326
255,23.652,33.355,1.540,0.000
256,23.660,33.814,1.666,29.506
257,23.674,33.018,1.616,13.396
258,23.633,33.546,1.623,10.536
259,23.604,33.164,1.717,9.616
260,23.664,33.264,1.666,10.236
261,23.636,33.682,1.562,13.776
262,23.625,34.072,1.456,0.000
263,23.704,33.414,1.476,0.000
264,23.688,33.639,1.717,0.000
265,23.690,33.498,1.666,0.000
266,23.668,33.225,1.453,24.166
267,23.620,32.995,1.398,17.056
268,23.628,33.999,1.791,14.786
269,23.718,33.900,1.945,14.456
270,23.597,34.359,1.616,0.000
271,23.702,34.239,1.470,0.000
272,23.653,34.339,1.509,0.000
273,23.685,33.108,1.464,18.936
274,23.754,32.960,1.461,11.956
275,23.679,33.647,1.528,9.656
276,23.761,33.313,1.568,11.156
277,23.690,33.510,1.731,12.406
278,23.668,32.817,1.590,20.976
279,23.653,33.352,1.456,35.266
280,23.682,33.880,1.509,15.666
281,23.671,33.864,1.521,12.836
282,23.747,32.563,1.467,14.816
283,23.712,33.782,1.404,12.006
284,23.663,33.510,1.458,11.376
285,23.675,31.947,1.424,12.586
286,23.601,32.689,1.626,10.076
287,23.650,33.252,1.649,20.026
288,23.631,33.284,1.929,20.876
289,23.603,32.232,2.012,12.546
290,23.592,32.463,1.960,15.686
291,23.567,33.240,1.755,10.796
292,23.644,32.699,1.646,18.876
293,23.649,33.241,1.537,61.036
294,23.669,33.721,1.438,13.686
295,23.701,33.732,1.515,0.000
296,23.671,34.129,1.531,0.000
297,23.661,33.664,1.578,0.000
298,23.600,33.523,1.879,0.000
299,23.633,32.871,1.676,17.866
300,23.574,33.179,1.456,18.086
301,23.628,32.907,1.494,10.186
302,23.658,33.311,1.689,9.476
303,23.658,32.438,1.857,13.876
304,23.647,33.063,1.571,10.276
305,23.600,32.446,1.594,13.946
306,23.647,32.436,1.398,13.996
307,23.608,31.895,1.594,17.286
308,23.560,31.871,1.303,18.506
309,23.518,32.827,1.639,20.656
310,23.562,31.838,1.453,77.386
311,23.556,33.118,1.662,52.466
312,23.639,32.598,1.600,0.000
313,23.608,31.967,1.646,0.000
314,23.532,31.826,1.512,20.056
315,23.533,30.760,1.696,12.836
316,23.492,31.985,1.461,44.666
317,23.568,31.803,1.584,20.876
318,23.584,32.283,1.587,37.366
319,23.551,33.066,1.933,32.056
320,23.600,32.187,1.766,26.256
321,23.590,31.674,1.864,16.416
322,23.554,32.126,1.717,11.486
323,23.586,31.757,1.745,13.556
324,23.450,33.341,1.669,9.236
325,23.595,32.869,1.720,11.326
326,23.606,32.107,1.476,11.526
327,23.611,31.849,1.395,9.496
328,23.589,32.763,1.409,0.000
329,23.627,32.547,1.632,9.376
330,23.590,32.199,1.699,0.000
331,23.595,32.948,1.864,0.000
332,23.529,31.661,2.074,17.386
333,23.533,32.293,2.350,17.946
334,23.519,30.765,1.945,58.356
335,23.562,30.790,2.667,25.676
336,23.544,32.091,2.025,28.386
337,23.548,31.467,1.891,26.146
338,23.513,31.450,1.984,29.486
339,23.574,31.399,2.142,27.486
340,23.538,32.134,2.053,0.000
341,23.532,31.993,2.212,12.726
342,23.436,31.569,2.164,0.000
343,23.472,31.863,2.359,14.416
344,23.543,31.163,3.464,52.286
345,23.383,30.573,2.359,40.546
346,23.298,31.502,2.172,47.116
347,23.475,32.037,2.383,27.296
348,23.500,31.662,2.630,90.986
349,23.513,31.976,2.511,46.936
350,23.554,32.028,2.827,33.746
351,23.447,31.604,2.604,0.000
352,23.409,31.601,2.547,0.000
353,23.431,31.571,2.754,0.000
354,23.377,31.492,2.673,0.000
355,23.344,31.530,2.506,0.000
356,23.355,31.610,2.466,0.000
357,23.281,31.359,2.397,0.000
358,23.202,31.521,2.225,0.000
359,23.305,31.773,2.177,0.000
360,23.218,31.812,2.021,0.000
361,23.306,32.271,2.062,0.000
362,23.434,32.192,1.887,0.000
363,23.451,32.293,2.008,0.000
364,23.442,32.241,1.895,0.000
365,23.492,31.535,1.929,0.000
