# GPS: 4.16791, 102.26261 deg., Elev: 266.83 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
240,21.79,29.8,0.2,1.16
241,22.12,29.25,0.25,14.76
242,21.58,30.21,0.27,6.01
243,22.29,30.36,0.28,0.12
244,22.24,29.94,0.26,2.49
245,22.26,30.5,0.17,6.81
246,22.08,28.69,0.24,13.97
247,21.5,29.8,0.28,4.24
248,22.3,30.21,0.2,1.6
249,22.37,28.68,0.14,19.65
250,22.62,28.5,0.1,18.01
251,22.11,29.74,0.2,4.49
252,21.67,30.42,0.23,2.39
253,22.03,30.83,0.17,16.74
254,22.59,30.11,0.15,2.88
255,22.54,29.33,0.15,12.22
256,22.47,28.79,0.28,23.18
257,22.34,27.97,0.3,5.03
258,21.83,29.21,0.26,11.03
259,22.02,28.72,0.3,7.21
260,21.49,29.14,0.23,2.2
261,22.24,29.35,0.28,8.4
262,21.49,30.02,0.3,1.11
263,21.62,29.93,0.33,9.28
264,22.07,29.22,0.31,2.99
265,21.87,29.34,0.27,0.63
266,22.03,29.07,0.26,13.48
267,21.58,29.39,0.25,10.03
268,22.07,29.69,0.27,5.64
269,22.38,29.4,0.3,2.39
270,21.08,30.5,0.43,1.67
271,21.68,29.78,0.38,0.82
272,21.45,29.51,0.3,0.46
273,22.25,29.5,0.22,5.59
274,22.37,29.45,0.29,1.87
275,21.95,30.5,0.24,0.13
276,22.64,28.92,0.26,0.34
277,22.42,29.33,0.31,2.54
278,22.11,28.47,0.22,12.05
279,21.99,29.73,0.28,22.49
280,21.84,29.79,0.22,10.36
281,22.35,28.74,0.16,4.59
282,22.06,25.62,0.21,6.23
283,21.46,29.73,0.21,20.65
284,21.75,28.53,0.28,5.09
285,21.93,27.95,0.24,5.52
286,22.41,27.88,0.24,15.65
287,21.96,29.04,0.28,22.39
288,21.96,27.62,0.3,33.4
289,21.53,27.03,0.3,46.56
290,21.77,27.28,0.32,20.76
291,21.65,29.19,0.31,16.07
292,22.17,28.87,0.25,22.78
293,21.95,28.65,0.29,44.62
294,22.0,29.97,0.23,8.06
295,22.45,29.36,0.2,3.96
296,22.48,30.25,0.25,2.77
297,21.72,30.75,0.22,1.51
298,21.49,30.15,0.32,5.57
299,21.89,29.3,0.24,11.9
300,22.41,28.04,0.2,10.41
301,22.2,29.71,0.21,6.35
302,22.3,29.56,0.28,6.25
303,22.51,26.67,0.26,3.75
304,22.0,28.7,0.27,1.71
305,21.81,27.71,0.29,7.11
306,21.92,27.96,0.24,5.1
307,22.12,26.3,0.17,3.54
308,21.82,26.58,0.2,3.6
309,21.58,29.5,0.22,6.66
310,22.24,27.55,0.26,53.96
311,21.44,29.42,0.22,10.86
312,22.6,28.92,0.15,0.37
313,22.46,26.89,0.15,4.7
314,22.08,27.66,0.28,7.68
315,21.41,25.29,0.28,3.8
316,21.52,26.34,0.32,26.09
317,21.42,27.23,0.29,6.65
318,21.96,27.84,0.18,12.49
319,21.9,29.33,0.18,16.01
320,22.32,28.18,0.24,16.99
321,22.18,27.06,0.23,7.61
322,22.01,28.75,0.24,3.1
323,21.92,27.91,0.21,20.14
324,21.4,29.03,0.29,8.23
325,21.54,28.64,0.35,11.12
326,21.97,26.74,0.25,3.81
327,22.13,28.21,0.15,2.03
328,22.22,28.84,0.21,3.33
329,22.33,27.33,0.24,3.68
330,22.21,28.03,0.22,3.9
331,21.41,29.27,0.33,12.12
332,20.56,27.21,0.35,5.87
333,20.8,28.24,0.29,2.34
334,21.28,25.58,0.22,18.85
335,21.53,25.95,0.23,5.33
336,21.14,27.71,0.26,5.3
337,21.43,27.19,0.16,2.42
338,21.21,28.13,0.26,6.71
339,22.16,25.48,0.21,7.0
340,21.61,26.74,0.29,3.38
341,21.56,27.72,0.13,4.87
342,21.08,27.12,0.29,2.06
343,20.6,28.8,0.25,1.02
344,21.76,25.18,0.21,18.23
345,20.79,23.73,0.31,14.83
346,19.19,26.85,0.33,24.07
347,20.56,28.35,0.33,3.9
348,21.04,27.04,0.32,41.54
349,20.71,27.47,0.31,16.88
350,20.91,28.05,0.4,13.82
351,20.49,27.64,0.4,1.23
352,19.17,27.42,0.46,0.21
353,19.46,27.12,0.44,1.43
354,19.13,27.55,0.43,0.13
355,18.92,27.59,0.44,0.0
356,18.93,28.08,0.4,0.08
357,18.46,27.16,0.4,5.02
358,18.06,27.46,0.4,0.19
359,17.87,28.12,0.34,0.0
360,18.23,27.94,0.37,0.0
361,18.53,29.02,0.31,0.88
362,20.36,29.1,0.26,5.77
363,21.07,28.82,0.25,10.76
364,20.34,28.79,0.31,0.29
365,20.8,27.98,0.33,12.98
